localTeam,visitorTeam,localGoals,visitorGoals
Uruguay,Brazil,0,0
Uruguay,Brazil,2,2
Uruguay,Brazil,1,1
Peru,Uruguay,0,1
Peru,Uruguay,1,2
Japan,Korea Republic,2,1
Mexico,Argentina,2,1
Denmark,Iceland,14,2
Poland,France,1,4
Germany,France,5,1
Russia,Switzerland,2,2
Belgium,Poland,2,4
France,Belgium,1,1
Australia,Korea Republic,3,2
England,Russia,2,2
Saudi Arabia,Tunisia,4,0
Spain,Sweden,3,1
Mexico,Russia,0,0
Belgium,Germany,1,3
Mexico,Russia,1,1
Mexico,Russia,0,0
Morocco,Algeria,0,0
Mexico,Japan,4,0
Australia,Japan,2,2
Australia,Japan,3,1
England,Spain,1,0
Australia,Japan,1,3
Switzerland,Germany,0,0
Russia,Belgium,1,0
Sweden,Spain,1,1
Spain,England,1,2
Mexico,Uruguay,3,3
England,Sweden,3,1
Mexico,Uruguay,2,2
Germany,England,1,0
Argentina,Uruguay,2,0
England,Russia,2,0
Brazil,Uruguay,2,0
Brazil,Uruguay,4,0
Germany,Brazil,2,1
Poland,Brazil,3,6
Uruguay,Argentina,2,1
Sweden,Denmark,2,1
Portugal,Brazil,0,2
Mexico,Brazil,0,2
Mexico,Brazil,2,1
Peru,Brazil,3,4
Peru,Brazil,0,4
Sweden,Russia,2,2
Brazil,Argentina,4,1
Brazil,Argentina,3,2
Peru,Argentina,2,2
Peru,Argentina,1,1
France,Germany,1,1
Colombia,Mexico,0,1
France,Spain,1,3
Peru,Mexico,3,3
Uruguay,Mexico,0,2
Brazil,Mexico,1,2
Brazil,Mexico,2,1
Morocco,Senegal,1,0
Algeria,Tunisia,1,2
Spain,Belgium,1,1
Brazil,Germany,2,2
Argentina,Poland,1,0
Mexico,Germany,0,0
Tunisia,Algeria,0,0
Senegal,Morocco,2,1
Mexico,Denmark,3,0
Mexico,Colombia,1,0
Morocco,Senegal,2,0
Colombia,Russia,1,3
Belgium,Spain,2,1
Algeria,Morocco,2,0
England,France,5,0
Spain,Switzerland,1,0
Portugal,Mexico,0,0
Brazil,Peru,2,1
Brazil,Peru,3,2
Belgium,Mexico,2,0
Portugal,Switzerland,0,2
Spain,Mexico,0,0
Tunisia,Morocco,0,0
Sweden,Mexico,1,0
Denmark,Mexico,3,1
Colombia,Peru,1,3
Morocco,Tunisia,0,0
Mexico,Peru,0,1
Mexico,Peru,3,0
Mexico,England,0,0
Mexico,England,0,4
Uruguay,England,1,2
Brazil,England,2,1
Tunisia,Morocco,2,2
Peru,Colombia,1,1
Denmark,Sweden,0,1
Peru,Uruguay,1,0
Colombia,Uruguay,0,1
Peru,Argentina,1,0
Colombia,Brazil,0,2
Russia,Sweden,0,1
Brazil,Colombia,6,2
Argentina,Peru,2,2
Morocco,Nigeria,2,1
Japan,Australia,1,3
Korea Republic,Japan,2,2
Korea Republic,Australia,1,2
Sweden,France,2,0
Australia,Japan,1,1
Korea Republic,Japan,2,0
Korea Republic,Australia,1,1
Algeria,Morocco,1,0
France,Sweden,3,0
Switzerland,Portugal,1,1
Mexico,Belgium,1,0
Nigeria,Morocco,2,0
England,Portugal,1,0
Spain,Germany,2,0
Peru,Russia,0,0
Peru,Russia,0,2
Mexico,Sweden,0,0
Belgium,England,1,3
Mexico,Russia,0,0
Mexico,Sweden,0,1
Brazil,Argentina,0,2
Peru,Mexico,0,1
Brazil,Argentina,2,1
Peru,Mexico,1,0
Mexico,Peru,3,1
Mexico,Peru,3,3
Uruguay,Peru,2,0
Argentina,Uruguay,2,1
Uruguay,Argentina,2,1
Switzerland,Spain,0,1
Switzerland,France,2,1
Denmark,Poland,0,2
Colombia,England,0,4
Mexico,Russia,0,0
Germany,Morocco,2,1
Belgium,Russia,1,4
Morocco,Peru,0,3
Brazil,England,1,0
Germany,Peru,3,1
Sweden,Uruguay,1,0
Mexico,Belgium,1,0
Brazil,Peru,4,2
England,Germany,2,3
Russia,Uruguay,0,1
Brazil,Uruguay,3,1
Germany,Uruguay,1,0
Sweden,Denmark,1,1
Iceland,Denmark,0,0
Japan,Korea Republic,1,1
Poland,Denmark,5,0
Brazil,Mexico,2,1
Denmark,Portugal,0,1
Iran,Australia,1,2
Belgium,France,1,2
Belgium,Denmark,2,0
Algeria,Morocco,3,1
Morocco,Algeria,3,0
Argentina,France,3,4
Argentina,France,2,0
Belgium,Portugal,3,0
Mexico,Russia,0,0
Mexico,Russia,0,0
Spain,France,2,2
Switzerland,Poland,2,4
Portugal,Denmark,5,0
Denmark,Belgium,1,2
Russia,Spain,2,1
Denmark,Sweden,1,3
Sweden,Germany,1,0
Denmark,Germany,1,3
Argentina,Uruguay,1,0
Uruguay,Argentina,1,1
Argentina,Brazil,1,1
Denmark,Japan,3,2
Argentina,Brazil,2,2
Iceland,Japan,0,2
Germany,Mexico,5,0
Korea Republic,Iran,2,0
Korea Republic,Iran,0,2
Poland,Germany,1,3
Switzerland,England,2,3
Spain,Russia,0,0
England,Switzerland,1,1
Germany,Poland,0,0
Portugal,Belgium,1,1
Costa Rica,Mexico,0,1
Senegal,Morocco,1,3
Nigeria,Morocco,3,0
Colombia,Peru,1,1
Mexico,Peru,2,1
Russia,Peru,2,0
Switzerland,Sweden,1,1
England,Germany,1,3
Poland,Switzerland,0,0
Germany,England,0,0
Belgium,Iceland,4,0
Iran,Korea Republic,2,1
Belgium,Iceland,4,0
Spain,Uruguay,2,0
Germany,Russia,4,1
Tunisia,Algeria,3,1
Belgium,Germany,1,2
Iran,Portugal,0,3
Colombia,France,2,3
Germany,Russia,3,0
Argentina,Colombia,4,1
Argentina,France,0,0
Argentina,Portugal,1,3
Sweden,Denmark,2,0
Uruguay,Russia,0,1
Argentina,Russia,1,0
Portugal,Uruguay,1,1
Iceland,Denmark,2,5
Argentina,Uruguay,1,0
Portugal,Russia,1,0
Brazil,Portugal,1,0
Japan,Korea Republic,0,3
Costa Rica,Mexico,1,0
Sweden,Russia,4,4
Peru,Mexico,3,2
Japan,Korea Republic,2,2
Denmark,Switzerland,1,1
Spain,Argentina,1,0
Mexico,Costa Rica,3,1
France,Russia,1,0
Korea Republic,Australia,1,1
Korea Republic,Australia,0,2
Peru,Argentina,0,2
Germany,Switzerland,5,1
Tunisia,Algeria,1,2
Morocco,Senegal,0,0
Senegal,Morocco,1,2
Mexico,Argentina,2,0
Germany,Argentina,2,3
Morocco,Senegal,3,1
France,Portugal,1,2
Peru,Panama,4,0
Denmark,Sweden,1,2
Argentina,Uruguay,1,1
Uruguay,Argentina,1,1
Russia,France,2,0
Algeria,Brazil,0,2
Poland,England,2,0
Tunisia,Brazil,1,4
Russia,England,1,2
Germany,Brazil,0,1
Russia,Brazil,0,1
Korea Republic,Japan,2,0
Colombia,Uruguay,0,0
Sweden,Brazil,1,0
Peru,Colombia,3,1
Uruguay,Colombia,0,1
Sweden,Iceland,1,0
Argentina,Peru,3,1
Mexico,Poland,0,1
Russia,Sweden,0,0
Mexico,Poland,1,2
Australia,Iran,3,0
Iran,Australia,2,0
Russia,Germany,0,1
Germany,France,2,1
England,Poland,1,1
Australia,Korea Republic,0,0
Algeria,Morocco,2,0
Korea Republic,Australia,2,2
Australia,Korea Republic,1,0
France,Denmark,3,0
Germany,Spain,2,1
Spain,Germany,1,0
Saudi Arabia,Morocco,0,0
Brazil,Mexico,1,1
Portugal,England,0,0
Morocco,Algeria,2,0
Belgium,Poland,1,1
Germany,Sweden,2,0
Switzerland,Belgium,0,1
France,Argentina,0,1
England,Argentina,2,2
Denmark,Sweden,0,2
Sweden,Switzerland,0,0
Poland,Argentina,3,2
Germany,Australia,3,0
Sweden,Uruguay,3,0
Sweden,Poland,0,1
Argentina,Brazil,1,2
Germany,Sweden,4,2
Germany,Poland,1,0
Brazil,Poland,0,1
Switzerland,Germany,1,2
Poland,France,0,2
Iceland,Belgium,0,2
Denmark,Spain,1,2
Japan,Korea Republic,4,1
Morocco,Tunisia,3,1
Algeria,Tunisia,0,1
Denmark,Iceland,2,1
Argentina,Spain,1,1
Belgium,France,2,1
Algeria,Morocco,0,0
Switzerland,Portugal,3,0
England,Portugal,0,0
Senegal,Nigeria,0,1
Nigeria,Senegal,1,1
Morocco,Tunisia,0,0
Brazil,Portugal,2,1
England,Germany,2,0
Algeria,Tunisia,1,2
France,Portugal,0,2
Senegal,Nigeria,1,0
Sweden,Algeria,4,0
Iceland,France,0,0
Panama,Costa Rica,1,1
Uruguay,Argentina,2,3
Brazil,Argentina,2,1
Japan,Korea Republic,1,3
Argentina,Brazil,0,1
Mexico,Costa Rica,7,0
Mexico,Argentina,1,1
France,Iceland,3,0
Switzerland,England,1,2
Belgium,Iceland,1,0
Korea Republic,Japan,3,0
Colombia,Uruguay,3,0
Sweden,Denmark,0,0
Brazil,Peru,1,3
Uruguay,Colombia,1,0
Peru,Brazil,0,2
Spain,Denmark,2,0
Switzerland,Russia,0,1
Colombia,Peru,1,0
Peru,Colombia,2,0
Colombia,Peru,0,1
Russia,Switzerland,4,1
France,Belgium,0,0
Portugal,England,1,1
Saudi Arabia,Algeria,1,3
Saudi Arabia,Morocco,0,2
Uruguay,Brazil,1,2
Argentina,Brazil,1,2
Tunisia,Sweden,1,1
Algeria,Sweden,0,2
Morocco,Nigeria,3,1
Morocco,Nigeria,2,1
Russia,Argentina,0,1
Poland,Argentina,1,2
Panama,Costa Rica,3,2
Argentina,Uruguay,4,1
France,Poland,2,0
Spain,Germany,1,1
Brazil,Uruguay,2,1
Sweden,Denmark,1,2
Switzerland,Poland,2,1
Brazil,Argentina,2,0
Germany,Spain,2,0
Brazil,England,1,0
Mexico,Brazil,0,3
Uruguay,Argentina,0,3
Costa Rica,Panama,3,0
Japan,Korea Republic,0,0
Denmark,France,1,1
Iceland,Belgium,0,1
Saudi Arabia,Morocco,0,2
Saudi Arabia,Tunisia,0,1
Switzerland,Sweden,1,2
Peru,Uruguay,0,0
Colombia,Uruguay,1,2
Portugal,Poland,0,2
Peru,Argentina,1,3
Argentina,Peru,1,0
Portugal,Denmark,1,0
Uruguay,Peru,0,0
Argentina,Russia,0,0
Brazil,Russia,2,0
Japan,Korea Republic,1,2
Morocco,Tunisia,1,1
Saudi Arabia,Iran,0,3
Tunisia,Morocco,1,1
Senegal,Denmark,2,3
Tunisia,Algeria,2,0
Colombia,Brazil,0,0
France,Germany,1,0
Algeria,Tunisia,1,1
Brazil,Colombia,6,0
Tunisia,Russia,0,3
Argentina,Iran,1,1
Japan,Korea Republic,0,0
Portugal,Switzerland,1,0
Korea Republic,Japan,1,0
Iran,Saudi Arabia,2,0
Switzerland,France,0,4
Algeria,Senegal,2,0
Denmark,Poland,1,2
Mexico,Peru,1,1
Mexico,Peru,2,1
Senegal,Morocco,3,2
Argentina,Poland,3,1
Argentina,Germany,1,3
Brazil,England,0,0
Sweden,Switzerland,2,1
Uruguay,Germany,0,2
Peru,Poland,1,3
Argentina,England,1,1
Brazil,Germany,1,1
Mexico,Germany,2,2
Denmark,Sweden,2,1
Korea Republic,Japan,2,1
Uruguay,England,0,0
Brazil,Poland,3,1
Argentina,France,0,0
Brazil,France,2,2
Korea Republic,Iran,0,0
Peru,Brazil,0,1
Iceland,Sweden,0,1
Iran,Morocco,1,1
Australia,Iran,0,1
Australia,Korea Republic,2,1
Belgium,Iceland,4,0
England,Switzerland,0,0
Russia,Poland,4,1
Poland,Denmark,4,1
Switzerland,Spain,1,2
Tunisia,Nigeria,0,0
Sweden,Denmark,1,0
France,Russia,0,0
Denmark,Portugal,2,4
Korea Republic,Australia,0,0
Poland,Portugal,1,1
Iran,Korea Republic,2,2
Nigeria,Tunisia,0,1
Poland,Sweden,2,1
Germany,Switzerland,4,1
Iran,Australia,1,0
Germany,England,2,1
Morocco,Russia,2,3
Morocco,Tunisia,1,1
France,Portugal,2,0
Germany,Russia,1,0
Nigeria,Tunisia,2,0
Argentina,Peru,2,1
Peru,Argentina,1,3
France,Brazil,1,0
Germany,Brazil,0,1
Mexico,Peru,0,1
England,Brazil,1,1
Sweden,Germany,3,1
Uruguay,Argentina,2,0
Spain,Mexico,2,0
Brazil,Peru,3,0
Argentina,Uruguay,3,0
France,Iran,2,1
France,Tunisia,2,0
Uruguay,Spain,0,0
Germany,Poland,0,0
Mexico,Tunisia,1,3
Brazil,Sweden,1,1
Argentina,France,2,1
Germany,Mexico,6,0
Poland,Tunisia,1,0
Brazil,Spain,0,0
Germany,Tunisia,0,0
Mexico,Poland,1,3
Iran,Peru,1,4
Spain,Sweden,1,0
Argentina,Poland,2,0
Brazil,Peru,3,0
Argentina,Brazil,0,0
Peru,Poland,0,1
Argentina,Peru,6,0
Brazil,Poland,3,1
Iceland,Denmark,0,0
Japan,Korea Republic,0,4
Denmark,Sweden,2,1
France,Sweden,2,2
Iceland,Poland,0,2
Iran,Russia,0,1
Denmark,England,3,4
Portugal,Belgium,1,1
France,Spain,1,0
Poland,Switzerland,2,0
Japan,Russia,1,4
Japan,Russia,1,4
Japan,Russia,0,3
Tunisia,Poland,0,2
Japan,Korea Republic,2,1
Russia,Sweden,2,0
Denmark,Sweden,2,2
Switzerland,Iceland,2,0
Iceland,Germany,1,3
Brazil,Uruguay,5,1
Iceland,Switzerland,1,2
Sweden,England,0,0
Korea Republic,Japan,4,1
Denmark,Russia,1,2
Peru,Colombia,0,1
Colombia,Peru,1,2
Brazil,Argentina,2,1
Argentina,Brazil,2,2
Peru,Uruguay,2,0
Sweden,France,1,3
England,Denmark,1,0
Germany,Argentina,2,1
Switzerland,Poland,0,2
Spain,Portugal,1,1
Senegal,Nigeria,0,2
Poland,Iceland,2,0
Belgium,Portugal,2,0
Mexico,Peru,1,0
Spain,Denmark,1,3
Russia,Germany,1,3
Tunisia,Senegal,3,1
Saudi Arabia,Korea Republic,1,3
Saudi Arabia,Korea Republic,0,0
Morocco,Poland,1,0
Morocco,Senegal,3,2
Mexico,Korea Republic,0,1
Morocco,Tunisia,0,0
Algeria,Morocco,1,0
Belgium,Uruguay,2,0
Nigeria,Morocco,1,0
Nigeria,Algeria,3,0
Spain,England,0,2
Belgium,Poland,2,1
Senegal,Tunisia,0,2
Sweden,Russia,1,5
Sweden,Denmark,0,1
England,Argentina,3,1
Germany,Poland,3,1
Denmark,Spain,2,2
Russia,France,1,0
Australia,England,1,2
Brazil,Mexico,2,0
Tunisia,Morocco,0,1
Belgium,England,1,1
Belgium,Spain,2,1
Brazil,Russia,1,2
Spain,England,1,2
Belgium,Germany,1,2
Senegal,Morocco,0,1
Brazil,Poland,1,1
Tunisia,Nigeria,2,0
Morocco,Senegal,0,0
Colombia,Poland,1,4
Nigeria,Tunisia,2,0
Russia,Denmark,2,0
Sweden,Iceland,1,1
Uruguay,Peru,0,0
Panama,Costa Rica,1,1
Australia,Mexico,2,2
Australia,Mexico,1,1
Brazil,Uruguay,1,0
Switzerland,Denmark,1,1
Iceland,Russia,1,2
Switzerland,Germany,2,3
Argentina,Poland,2,1
Russia,Iceland,5,0
Costa Rica,Panama,2,0
Peru,Uruguay,1,1
Spain,Poland,1,2
England,Switzerland,2,1
Germany,France,4,1
Poland,Algeria,5,1
Argentina,Russia,1,1
Argentina,Switzerland,5,0
Uruguay,Switzerland,4,0
Brazil,Switzerland,2,0
Argentina,Germany,2,1
Argentina,Brazil,1,1
Brazil,Germany,4,1
Uruguay,Brazil,2,1
Japan,Poland,0,2
Japan,Poland,2,4
Japan,Poland,1,4
Colombia,Brazil,1,1
Japan,Poland,0,3
Mexico,Korea Republic,4,0
Spain,France,1,0
Japan,Korea Republic,0,1
Saudi Arabia,Tunisia,1,2
England,Spain,1,2
Algeria,Senegal,2,0
Tunisia,Senegal,1,0
Senegal,Tunisia,0,0
France,Belgium,3,2
England,Brazil,0,1
Sweden,Denmark,1,2
France,Brazil,1,3
Germany,Brazil,1,2
Switzerland,England,2,1
Portugal,Spain,2,0
Korea Republic,Japan,2,0
Sweden,Portugal,3,0
Colombia,Spain,1,1
Brazil,Spain,1,0
Colombia,Peru,1,1
Uruguay,Colombia,3,2
Peru,Colombia,2,0
Iceland,Nigeria,3,0
Uruguay,Peru,1,2
Denmark,Iceland,3,0
Poland,Germany,0,2
Peru,Uruguay,0,0
Belgium,France,2,0
Colombia,Uruguay,1,1
Portugal,Poland,2,0
Morocco,Tunisia,2,2
Nigeria,Algeria,0,2
Portugal,Sweden,1,2
Saudi Arabia,Korea Republic,2,0
Argentina,Poland,1,2
Saudi Arabia,Sweden,1,2
Algeria,Nigeria,2,1
Senegal,Morocco,2,0
Poland,Spain,2,3
Spain,Belgium,2,0
Tunisia,Algeria,0,1
Germany,Portugal,3,1
Korea Republic,Uruguay,2,2
Algeria,Nigeria,2,1
Brazil,Germany,1,0
Korea Republic,Japan,3,0
Argentina,Germany,1,1
Switzerland,Portugal,2,1
Argentina,Russia,1,1
Algeria,Peru,1,1
France,Peru,0,1
Spain,Switzerland,2,0
Brazil,Portugal,3,1
Denmark,Sweden,1,1
Morocco,Senegal,2,1
Brazil,Switzerland,1,1
Denmark,Belgium,1,0
Iceland,England,1,1
Sweden,Russia,1,1
Argentina,Belgium,0,1
Brazil,Russia,2,1
England,France,3,1
Germany,Algeria,1,2
Poland,Peru,5,1
Poland,Belgium,3,0
Germany,England,0,0
Belgium,Russia,0,1
Argentina,Brazil,1,3
Spain,Germany,1,2
Poland,Russia,0,0
Spain,England,0,0
Germany,France,3,3
Poland,France,3,2
France,Poland,0,4
Denmark,England,2,2
Germany,Belgium,0,0
Saudi Arabia,Morocco,2,1
Belgium,Switzerland,3,0
Portugal,Poland,2,1
England,Germany,1,2
Spain,Iceland,1,0
Tunisia,Algeria,0,1
Portugal,France,0,3
Portugal,Germany,1,0
Japan,Korea Republic,1,1
Senegal,Morocco,1,0
Senegal,Morocco,0,0
Costa Rica,Mexico,0,1
Mexico,Costa Rica,1,0
France,Russia,1,1
Tunisia,Morocco,1,0
Switzerland,Russia,0,1
Russia,Portugal,5,0
Poland,Russia,1,1
Iceland,Spain,0,1
Belgium,France,1,1
Korea Republic,Nigeria,1,0
Portugal,Brazil,0,4
Australia,England,0,0
Australia,England,0,1
Switzerland,Brazil,1,2
Australia,England,1,1
Sweden,Brazil,3,3
Uruguay,Peru,1,1
Costa Rica,Korea Republic,1,1
Peru,Uruguay,1,1
Nigeria,Morocco,0,0
Iceland,Sweden,0,4
Peru,Colombia,1,0
Argentina,Brazil,1,0
Algeria,Senegal,2,0
Colombia,Peru,2,2
Morocco,Nigeria,0,0
Denmark,France,3,1
Brazil,Argentina,0,0
Algeria,Korea Republic,3,1
England,Denmark,0,1
France,Spain,1,1
Russia,Poland,2,0
Peru,Uruguay,0,1
Uruguay,Peru,1,1
Uruguay,Brazil,2,0
Poland,Portugal,0,1
Brazil,Uruguay,1,1
Switzerland,Belgium,3,1
Portugal,Russia,1,0
Nigeria,Senegal,1,0
Senegal,Nigeria,0,1
Mexico,Sweden,2,0
Algeria,Switzerland,1,2
Argentina,Poland,1,1
Saudi Arabia,Algeria,4,2
Belgium,Germany,0,1
France,England,2,0
Algeria,Nigeria,0,0
Panama,Costa Rica,1,1
Switzerland,Poland,1,1
Germany,Russia,2,1
Spain,Denmark,2,1
Poland,Belgium,0,1
France,Germany,1,0
Switzerland,Sweden,0,0
Switzerland,Spain,0,4
England,Russia,0,2
Sweden,Denmark,0,1
Brazil,England,0,2
France,Denmark,1,0
Uruguay,England,2,0
Germany,Portugal,0,0
France,Belgium,5,0
Brazil,Argentina,0,0
Portugal,Spain,1,1
Denmark,Belgium,3,2
Germany,Spain,0,1
Brazil,Uruguay,1,0
France,Portugal,3,2
Morocco,Senegal,2,1
Denmark,Spain,1,1
France,Spain,2,0
Uruguay,Argentina,1,0
Argentina,Uruguay,0,0
Peru,Colombia,0,0
Russia,Mexico,3,0
Sweden,Mexico,1,1
Colombia,Argentina,1,0
Switzerland,Argentina,0,2
Belgium,Argentina,0,2
Germany,Argentina,1,3
Sweden,Portugal,0,1
Mexico,Argentina,1,1
Uruguay,Peru,2,0
Saudi Arabia,Iceland,1,2
Tunisia,Nigeria,5,0
Korea Republic,Japan,1,2
Peru,Uruguay,1,3
Mexico,Colombia,1,0
Germany,Sweden,2,0
Switzerland,Denmark,1,0
Argentina,Mexico,1,1
Uruguay,Mexico,1,1
Portugal,Sweden,1,3
Saudi Arabia,Korea Republic,1,1
Saudi Arabia,Iran,1,1
Algeria,Tunisia,3,1
Iran,Russia,0,2
Colombia,Switzerland,2,2
Morocco,Russia,0,1
Mexico,Poland,5,0
Mexico,Switzerland,1,2
Colombia,Poland,1,2
Colombia,Poland,1,0
Portugal,Germany,1,2
Uruguay,Colombia,3,0
Uruguay,Peru,2,2
Switzerland,Russia,2,2
Peru,Uruguay,2,1
Brazil,Colombia,2,1
Brazil,Peru,0,1
Colombia,Uruguay,2,1
Belgium,Poland,2,0
Tunisia,Algeria,1,0
Brazil,Uruguay,2,0
Russia,Switzerland,4,0
Brazil,Argentina,2,1
Colombia,Brazil,1,0
Colombia,Peru,1,0
Colombia,Argentina,1,3
Denmark,Russia,4,2
Mexico,England,1,0
Peru,Colombia,0,0
England,Germany,3,0
Iceland,Spain,1,2
Mexico,Germany,2,0
Argentina,Colombia,1,0
Peru,Argentina,1,0
Argentina,Peru,2,2
Nigeria,Tunisia,1,0
Tunisia,Nigeria,2,0
Tunisia,Saudi Arabia,1,0
France,Uruguay,2,0
Sweden,Poland,1,0
Russia,Germany,1,0
Denmark,Sweden,0,3
Poland,Belgium,0,0
Mexico,Peru,0,0
Mexico,Peru,1,0
Russia,Denmark,1,0
Spain,Iceland,2,1
Sweden,Germany,2,2
Tunisia,Algeria,1,4
Denmark,Switzerland,0,0
Germany,Portugal,0,1
Algeria,Tunisia,3,0
Japan,Korea Republic,1,2
Korea Republic,Japan,1,0
Mexico,Argentina,1,1
Mexico,Argentina,1,1
Mexico,Korea Republic,2,1
Mexico,Algeria,2,0
Tunisia,Poland,1,0
Mexico,Korea Republic,2,1
Algeria,Korea Republic,0,2
Spain,Russia,2,0
Uruguay,Poland,2,2
Saudi Arabia,Algeria,0,0
Mexico,Russia,1,0
Spain,Belgium,3,0
Saudi Arabia,Algeria,1,1
Mexico,Denmark,1,1
Algeria,Morocco,0,0
Germany,Brazil,2,0
France,Argentina,2,0
Russia,England,0,1
Spain,Poland,3,0
Brazil,Peru,4,0
Switzerland,Germany,0,1
Mexico,Uruguay,1,0
Switzerland,Algeria,2,0
Japan,Algeria,2,1
Denmark,Poland,1,0
Mexico,England,0,3
Spain,Brazil,0,1
Argentina,Korea Republic,3,1
Morocco,Poland,0,0
Mexico,Belgium,2,1
Portugal,England,1,0
Uruguay,Germany,1,1
France,Russia,1,1
Brazil,Algeria,1,0
England,Morocco,0,0
Poland,Portugal,1,0
Denmark,Uruguay,6,1
England,Poland,3,0
Portugal,Morocco,1,3
Algeria,Spain,0,3
Denmark,Germany,2,0
Russia,Belgium,3,4
Argentina,Uruguay,1,0
Brazil,Poland,4,0
Morocco,Germany,0,1
Denmark,Spain,1,5
Brazil,France,1,1
Mexico,Germany,0,0
Argentina,England,2,1
Spain,Belgium,1,1
Argentina,Belgium,2,0
France,Germany,0,2
France,Belgium,4,2
Argentina,Germany,3,2
Switzerland,France,2,0
Sweden,Russia,0,0
Iceland,France,0,0
Sweden,England,1,0
Denmark,Germany,0,2
Iceland,Russia,1,1
Sweden,Switzerland,2,0
France,Russia,0,2
Portugal,Sweden,1,1
Germany,Spain,2,2
Switzerland,Portugal,1,1
Portugal,Belgium,1,0
Spain,England,2,4
Algeria,Tunisia,1,0
Russia,Sweden,1,3
France,Iceland,2,0
England,Brazil,1,1
Japan,Senegal,2,2
Australia,Morocco,1,0
Switzerland,Sweden,1,1
Korea Republic,Australia,1,1
Argentina,Peru,1,1
Argentina,Uruguay,0,1
Argentina,Colombia,1,2
Algeria,Korea Republic,2,0
Germany,France,2,1
Sweden,Denmark,1,0
Germany,England,3,1
Russia,France,1,1
Germany,Denmark,1,0
Sweden,Portugal,0,1
Germany,Sweden,1,1
Russia,Iceland,2,0
Portugal,Switzerland,0,0
Algeria,Tunisia,0,0
Brazil,Germany,1,1
Argentina,Germany,1,0
France,Switzerland,2,1
France,Morocco,2,1
Morocco,Algeria,1,0
Algeria,Nigeria,1,1
France,Spain,2,1
Morocco,Algeria,1,1
Argentina,Russia,2,4
Germany,Sweden,1,1
Germany,Argentina,1,0
Sweden,Russia,2,0
Germany,Switzerland,1,0
England,Colombia,1,1
Switzerland,England,0,1
Russia,Poland,2,1
Spain,Sweden,1,3
Denmark,Belgium,3,1
Switzerland,Spain,1,1
Denmark,Spain,2,3
Germany,Denmark,2,0
Germany,Spain,2,0
England,Russia,1,3
Argentina,Saudi Arabia,2,2
Australia,Brazil,0,1
Australia,Saudi Arabia,3,0
Argentina,Brazil,0,0
Saudi Arabia,Tunisia,1,1
Brazil,Saudi Arabia,4,1
Australia,Argentina,4,1
Argentina,Saudi Arabia,2,0
Australia,Brazil,0,2
Costa Rica,Panama,1,1
Panama,Costa Rica,0,2
Colombia,Uruguay,2,1
Iceland,Russia,1,1
Sweden,Denmark,1,2
England,Denmark,1,0
Saudi Arabia,Iran,1,0
Germany,Russia,1,0
Denmark,Iceland,1,0
Belgium,Brazil,1,2
Spain,Argentina,1,1
Sweden,Portugal,0,0
Belgium,Switzerland,1,0
England,Sweden,0,0
Japan,Korea Republic,0,1
Saudi Arabia,England,1,1
Saudi Arabia,Tunisia,1,0
Japan,Iran,0,0
Korea Republic,Japan,2,0
Korea Republic,Iran,3,0
Uruguay,Peru,3,0
Korea Republic,Saudi Arabia,0,0
Iran,Japan,2,2
Tunisia,Morocco,2,1
Colombia,Peru,1,0
Algeria,Denmark,0,0
Mexico,Poland,3,1
Portugal,Belgium,1,1
Colombia,Argentina,1,0
Algeria,Morocco,1,1
Algeria,Tunisia,2,0
Portugal,Switzerland,3,1
Korea Republic,Japan,1,0
Sweden,Poland,2,1
Brazil,Peru,4,1
Morocco,Algeria,1,0
Peru,Brazil,1,1
Russia,Iceland,1,1
Sweden,Algeria,2,0
England,Poland,3,0
Denmark,England,1,1
Brazil,Portugal,4,0
Denmark,Sweden,6,0
Brazil,Sweden,1,2
Denmark,Brazil,4,0
Switzerland,Brazil,1,0
Brazil,Peru,0,0
Brazil,Colombia,0,0
Uruguay,Argentina,0,1
Colombia,Peru,1,1
Brazil,Argentina,2,0
Argentina,Uruguay,0,2
Brazil,Uruguay,1,0
Senegal,Tunisia,3,0
Brazil,Japan,1,0
Tunisia,Senegal,0,1
Uruguay,Colombia,0,0
Mexico,Korea Republic,4,2
Morocco,Tunisia,0,0
Sweden,France,2,4
Belgium,Denmark,3,0
Poland,Russia,1,1
Peru,Uruguay,0,2
Belgium,Portugal,3,0
Sweden,England,0,0
Spain,Poland,1,0
Switzerland,Portugal,1,2
Uruguay,Peru,2,0
Poland,England,0,0
Switzerland,Belgium,2,2
Poland,Sweden,0,2
Saudi Arabia,Korea Republic,0,2
Tunisia,Algeria,0,0
Spain,Switzerland,2,1
Senegal,Algeria,0,0
Mexico,Argentina,2,0
Nigeria,Senegal,1,1
Colombia,Uruguay,0,2
Iran,Poland,0,2
Costa Rica,Uruguay,0,2
Iran,Poland,0,1
Colombia,Russia,0,0
Belgium,Sweden,0,0
Costa Rica,Russia,1,2
France,Germany,2,1
Algeria,Nigeria,5,1
Algeria,Senegal,2,1
Algeria,Nigeria,1,0
Mexico,Uruguay,2,1
England,Brazil,1,0
Algeria,Sweden,1,1
Mexico,Colombia,2,0
Germany,Uruguay,3,3
Colombia,Poland,2,1
Costa Rica,Poland,0,2
Switzerland,Argentina,1,1
England,Denmark,1,0
England,Uruguay,1,2
Germany,Denmark,1,0
Belgium,Mexico,3,0
Tunisia,England,1,1
Belgium,Poland,1,1
Brazil,Sweden,2,1
